id,seasonNum,episodeNum,sceneNo,characterName_1,action,characterName_2
0,1,1,10,Waymar Royce,killedBy,White Walker
1,1,1,13,Gared,killedBy,White Walker
2,1,1,15,Will,killedBy,Eddard Stark
3,1,1,17,Jon Arryn,killedBy,Lysa Arryn
4,1,1,23,Tyrion Lannister,sex,Ros
5,1,1,23,Ros,sex,Tyrion Lannister
6,1,1,33,Khal Drogo,married,Daenerys Targaryen
7,1,1,33,Daenerys Targaryen,married,Khal Drogo
8,1,1,34,Khal Drogo,sex,Daenerys Targaryen
9,1,1,34,Daenerys Targaryen,sex,Khal Drogo
10,1,1,36,Jaime Lannister,sex,Cersei Lannister
11,1,1,36,Cersei Lannister,sex,Jaime Lannister
12,1,2,11,Khal Drogo,sex,Daenerys Targaryen
13,1,2,11,Daenerys Targaryen,sex,Khal Drogo
14,1,2,13,Catspaw Assassin,killedBy,Summer
15,1,2,20,Khal Drogo,sex,Daenerys Targaryen
16,1,2,20,Daenerys Targaryen,sex,Khal Drogo
17,1,2,26,Mycah,killedBy,Sandor Clegane
18,1,2,30,Lady,killedBy,Eddard Stark
19,1,3,23,Daenerys Targaryen,sex,Khal Drogo
20,1,3,23,Khal Drogo,sex,Daenerys Targaryen
21,1,4,8,Viserys Targaryen,sex,Doreah
22,1,4,8,Doreah,sex,Viserys Targaryen
23,1,4,26,Hugh of the Vale,killedBy,Gregor Clegane
24,1,5,8,Ros,sex,Theon Greyjoy
25,1,5,8,Theon Greyjoy,sex,Ros
26,1,5,24,Renly Baratheon,sex,Loras Tyrell
27,1,5,24,Loras Tyrell,sex,Renly Baratheon
28,1,5,28,Jory Cassel,killedBy,Jaime Lannister
29,1,6,6,Stiv,killedBy,Theon Greyjoy
30,1,6,6,Wallen,killedBy,Robb Stark
31,1,6,15,Vardis Egen,killedBy,Bronn
32,1,6,19,Viserys Targaryen,killedBy,Khal Drogo
33,1,7,3,Ros,sex,Armeca
34,1,7,3,Armeca,sex,Ros
35,1,7,22,Robert Baratheon,killedBy,Boar
36,1,8,4,Vayon Poole,killedBy,Lannister Guard
37,1,8,6,Syrio Forel,killedBy,Meryn Trant
38,1,8,9,Red Keep Stableboy,killedBy,Arya Stark
39,1,8,21,Othor,killedBy,Jon Snow
40,1,8,23,Mago,killedBy,Khal Drogo
41,1,9,14,Tyrion Lannister,sex,Shae
42,1,9,14,Shae,sex,Tyrion Lannister
43,1,9,15,Qotho,killedBy,Jorah Mormont
44,1,9,16,Tyrion Lannister,sex,Shae
45,1,9,16,Shae,sex,Tyrion Lannister
46,1,9,25,Eddard Stark,killedBy,Ilyn Payne
47,1,10,12,Cersei Lannister,sex,Lancel Lannister
48,1,10,12,Lancel Lannister,sex,Cersei Lannister
49,1,10,19,Shae,sex,Tyrion Lannister
50,1,10,19,Tyrion Lannister,sex,Shae
51,1,10,22,Khal Drogo,killedBy,Daenerys Targaryen
52,1,10,23,Grand Maester Pycelle,sex,Ros
53,1,10,23,Ros,sex,Grand Maester Pycelle
54,1,10,31,Mirri Maz Duur,killedBy,Daenerys Targaryen
55,2,1,18,Maester Cressen,killedBy,Maester Cressen
56,2,1,27,Barra,killedBy,Janos Slynt
57,2,2,12,Theon Greyjoy,sex,Captain's Daughter
58,2,2,12,Captain's Daughter,sex,Theon Greyjoy
59,2,2,13,Brothel Customer,sex,Armeca
60,2,2,13,Armeca,sex,Brothel Customer
61,2,2,29,Stannis Baratheon,sex,Melisandre
62,2,2,29,Melisandre,sex,Stannis Baratheon
63,2,3,7,Renly Baratheon,married,Margaery Tyrell
64,2,3,7,Margaery Tyrell,married,Renly Baratheon
65,2,3,18,Renly Baratheon,sex,Loras Tyrell
66,2,3,18,Loras Tyrell,sex,Renly Baratheon
67,2,3,24,Grand Maester Pycelle,sex,Daisy
68,2,3,24,Daisy,sex,Grand Maester Pycelle
69,2,3,28,Yoren,killedBy,Amory Lorch
70,2,3,29,Lommy Greenhands,killedBy,Polliver
71,2,4,1,Rennick,killedBy,Grey Wind
72,2,4,12,Ros,sex,Daisy
73,2,4,12,Daisy,sex,Ros
74,2,4,28,Tortured Prisoner,killedBy,The Tickler
75,2,5,1,Renly Baratheon,killedBy,Melisandre
76,2,5,38,The Tickler,killedBy,Jaqen H'ghar
77,2,6,6,Rodrik Cassel,killedBy,Theon Greyjoy
78,2,6,17,High Septon,killedBy,King's Landing Mob
